Time,X-Pos,Y-Pos,Z-Pos,Compass Heading,Pitch Angle,Bank Angle,G,Flight State,Variable Geometry Wing,Air Brake,Landing Gear,Flaps,Brakes,Smoke,Vapor Trail,Misc,Strength,Throttle,Elevator,Aileron,Rudder,Trim,Thrust Vector,Reverse Thrust,Bomb Bay,Turrets
second,meter,meter,meter,radians,radians,radians,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,200.0,333.0,0.0,-0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.075,200.0,332.971,7.719,-0.0,-0.0,0.0,0.2,0,1,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.13,200.0,332.925,13.382,-0.0,-0.0002,0.0,0.3,0,4,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.19,200.0,332.853,19.562,-0.0,-0.0007,0.0,0.4,0,7,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.26,200.0,332.742,26.776,-0.0,-0.0018,0.0,0.4,0,10,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.31,200.0,332.646,31.93,-0.0,-0.0029,0.0,0.5,0,13,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.36,200.0,332.537,37.086,-0.0,-0.0042,0.0,0.5,0,15,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.41,200.0,332.416,42.244,-0.0,-0.0059,0.0,0.5,0,18,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.46,200.0,332.282,47.404,-0.0,-0.0079,0.0,0.5,0,20,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.53,200.0,332.075,54.631,-0.0,-0.011,0.0,0.5,0,24,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.59,200.0,331.879,60.828,-0.0,-0.0141,0.0,0.5,0,27,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.655,200.0,331.646,67.545,-0.0,-0.0178,0.0,0.5,0,30,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.71,200.0,331.434,73.231,0.0,-0.0211,0.0,0.5,0,33,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.78,200.0,331.14,80.472,0.0,-0.0257,0.0001,0.5,0,37,0,0,0,0,0,0,240,11,24,0,0,0,0,0,0,0,0
0.84,200.0,330.869,86.681,0.0,-0.0296,0.0002,0.5,0,40,0,0,0,0,0,0,240,11,24,9,0,0,0,0,0,0,0
0.91,200.0,330.527,93.929,0.0,-0.0324,0.0003,0.5,0,43,0,0,0,0,0,0,240,11,24,27,0,0,0,0,0,0,0
0.98,200.0,330.16,101.18,0.0,-0.0304,0.0005,0.5,0,47,0,0,0,0,0,0,240,11,24,33,0,0,0,0,0,0,0
